,,
INTERFACE_ID,STATUS,COUNT
,,
AFL_OUT,SUCCESS,6
,,
Amgen_OUT,SUCCESS,3
,,
AMROCK_OUT,SUCCESS,561
,,
AnonFGV,SUCCESS,489
,,
AVA_OUT,SUCCESS,2
,,
BENQ_OUT,SUCCESS,47
,,
BSCI_PDF,SUCCESS,437
,,
bsciout,SUCCESS,505
,,
BusIdFGV,SUCCESS,259
,,
CANADAMT,SUCCESS,501
,,
CANADAMT,FAILED,26
,,
Canon_OUT,SUCCESS,24
,,
cfwSPlus,SUCCESS,10
,,
cheetah,SUCCESS,239
,,
CISFGV_OUT,SUCCESS,259
,,
CMF_UTIL,SUCCESS,843
,,
confirm,SUCCESS,252
,,
Coyote204,SUCCESS,2
,,
Coyote997,SUCCESS,4268
,,
CoyoteOut,SUCCESS,4915
,,
CoyoteXml,SUCCESS,4915
,,
CSTC_EIMS,SUCCESS,46
,,
custmsSrch,SUCCESS,186
,,
DAH,SUCCESS,13
,,
DELDMA_OUT,SUCCESS,415
,,
DGRSAP_OUT,SUCCESS,4
,,
DHL_OUT,SUCCESS,15
,,
DRS,SUCCESS,2
,,
E2K_OUT,SUCCESS,696
,,
E2KCMFOUT,SUCCESS,65
,,
E2KCMFOUT,FAILED,1
,,
e2KCust,SUCCESS,96
,,
E2KMessage,SUCCESS,3749
,,
E2KPACT_IN,FAILED,5
,,
E2KPACT_IN,SUCCESS,218
,,
E2KReq510,SUCCESS,74
,,
E2KRequest,SUCCESS,21749
,,
e2kshpInf,SUCCESS,4
,,
EBCH_MI_IN,SUCCESS,193
,,
EIMINFO,SUCCESS,4
,,
EIMSPOD,SUCCESS,9
,,
EIMSPRQ,SUCCESS,1537
,,
EIMSSSI,SUCCESS,17
,,
ELECT_OUT,SUCCESS,60
,,
EmailIdFGV,SUCCESS,372
,,
entrsDetls,SUCCESS,36
,,
entrsEList,SUCCESS,250
,,
entrsLstng,SUCCESS,16
,,
EntryDaily,SUCCESS,1
,,
EntryMlstn,SUCCESS,250
,,
EP_RTM_OUT,SUCCESS,752
,,
ETPS2_DRD,SUCCESS,11
,,
EUR_TMS,SUCCESS,119
,,
EventSub,SUCCESS,14
,,
EVOLUS_OUT,SUCCESS,108
,,
Exceptions,SUCCESS,158
,,
FGV_AD_WCH,SUCCESS,7
,,
FGV_ADLS,SUCCESS,76
,,
FGV_CONTLS,SUCCESS,6
,,
FGV_CST_AS,SUCCESS,236
,,
FGV_CST_AS,FAILED,8
,,
FGV_EIMS,SUCCESS,1248
,,
FGV_PGA,SUCCESS,1
,,
FGVShpmnt,SUCCESS,33
,,
FMS_OUT,FAILED,1
,,
FMS_OUT,SUCCESS,277
,,
fps,SUCCESS,3
,,
freight,SUCCESS,3022
,,
GHOS_AVLIN,SUCCESS,46
,,
GHOS_AVLIN,FAILED,2
,,
HB_OUT,SUCCESS,1
,,
HelxModrna,SUCCESS,1
,,
HPE_OUT,SUCCESS,73
,,
HTRx_OUT,SUCCESS,1168
,,
IBM_BK_ORD,SUCCESS,2
,,
IBM_UPDATE,FAILED,1
,,
IBM_UPDATE,SUCCESS,7
,,
intelEIM,SUCCESS,69
,,
invAdj,SUCCESS,10
,,
KAFKA_IN,SUCCESS,2
,,
KAISER_OUT,SUCCESS,11
,,
Kardex_IN,SUCCESS,357
,,
LENOVO_OUT,SUCCESS,148
,,
LENOVO_OUT,FAILED,67
,,
LENOVO_SHP,SUCCESS,508
,,
LENOVO_SHP,FAILED,1
,,
LENOVO_XML,SUCCESS,1890
,,
LEO_OUT,SUCCESS,144
,,
ListingV2,SUCCESS,77
,,
MERCK_IN,SUCCESS,28
,,
MERCK_OUT,SUCCESS,25
,,
MEXICO_OUT,SUCCESS,78
,,
Milestone,SUCCESS,238
,,
MIQVNS_OUT,SUCCESS,187
,,
MissdDeliv,SUCCESS,2
,,
MissdDeprt,SUCCESS,2
,,
MNX_OUT,SUCCESS,6
,,
Moderna,SUCCESS,3
,,
MSTFGV_IN,SUCCESS,4643
,,
MSTUFH_OUT,SUCCESS,4643
,,
MXCUSRESP,SUCCESS,72
,,
MXTMS_AD,SUCCESS,4
,,
NGFS_BI_P,SUCCESS,2
,,
NGFS_HAWB,SUCCESS,156
,,
NGFSAPREPO,SUCCESS,1
,,
NGFSARREPO,SUCCESS,2
,,
NGFSCW_BI,SUCCESS,248
,,
NGFSCW_IN,SUCCESS,13304
,,
NGFSCW_OUT,SUCCESS,608
,,
NGFSCW_TB,SUCCESS,1
,,
NGFSE2K,SUCCESS,3159
,,
NGFSEIMSIN,SUCCESS,1985
,,
NGFSEIMSIN,FAILED,4
,,
NGFSLDD_IN,SUCCESS,2170
,,
NGFSLDDSUB,SUCCESS,2166
,,
NGFSLDDSUB,FAILED,2
,,
NGFSMT_DB,SUCCESS,38
,,
NGFSOAP_IN,SUCCESS,200
,,
NGFSOAP_IN,FAILED,38
,,
NGFSOAP_SC,SUCCESS,1
,,
NGFSSUB_IN,FAILED,4
,,
NGFSSUB_IN,SUCCESS,13308
,,
NGFSTACOUT,SUCCESS,163
,,
NGFSXUS_VC,SUCCESS,215
,,
NHC,SUCCESS,4248
,,
NHCB2B,SUCCESS,5158
,,
OAP_OUT,FAILED,1
,,
OAP_OUT,SUCCESS,1
,,
OPSPACT_IN,SUCCESS,2729
,,
OPSPACT_IN,FAILED,21
,,
order,SUCCESS,419
,,
OTNET_OUT,SUCCESS,16577
,,
PHAC_OUT,SUCCESS,2
,,
PODProcess,SUCCESS,172
,,
PrStrg_OUT,SUCCESS,209
,,
PrStrg_OUT,FAILED,3
,,
RTMIA_OUT,SUCCESS,1
,,
RTMOS_OUT,SUCCESS,619
,,
RTMRC_OUT,SUCCESS,40
,,
RTMSC_OUT,SUCCESS,4
,,
SchedDeliv,SUCCESS,2
,,
SchedDpart,SUCCESS,2
,,
SF_SYM,SUCCESS,231
,,
shipAdSrch,SUCCESS,222
,,
shipAdSrch,FAILED,1
,,
Shipment,SUCCESS,2444
,,
ShpDetails,SUCCESS,186
,,
SIP_E2KPAC,SUCCESS,223
,,
SIP_PACT,SUCCESS,2751
,,
sipmsgs,SUCCESS,17206
,,
SMICRO_OUT,SUCCESS,7
,,
SPLUS_IN,SUCCESS,19
,,
SpmtDalySu,SUCCESS,3
,,
SpmtServSu,SUCCESS,2
,,
SST_INV,FAILED,76
,,
SST_OSU,SUCCESS,15
,,
SY_FGV_DSH,SUCCESS,698
,,
SymFgvCust,SUCCESS,1
,,
SYMNS_OUT,FAILED,8
,,
SYMNS_OUT,SUCCESS,674
,,
TDRAP_IN,SUCCESS,19
,,
TESLA_TRCK,SUCCESS,13
,,
TimeCard,SUCCESS,1
,,
UBIF_OUT,SUCCESS,3
,,
UPMA_IN,FAILED,1
,,
VasLabel,SUCCESS,1508
,,
veriRevOut,SUCCESS,4
,,
Verizon,SUCCESS,25
,,
VZNSPL_OUT,FAILED,1
,,
VZNSPL_OUT,SUCCESS,35
,,
VZSP_ASN_P,SUCCESS,24
,,
VZSP_ASN_S,SUCCESS,1584
,,
VZSP_PO_P,SUCCESS,24
,,
VZSP_PO_S,SUCCESS,1584
,,
WWEFLabel,SUCCESS,390
,,
YNGAPACIN,SUCCESS,4
,,
YNGAPACOUT,SUCCESS,36
,,524
Zabis,SUCCESS,
